Sector,Year,FDI(IN  Crores),FDI (IN US$ Million)
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2014,8.74,1.43
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2014,443.75,72.58
COIR,2014,8.32,1.36
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2014,5320.71,870.25
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2014,4702.52,769.14
MISCELLANEOUS INDUSTRIES,2014,4682.59,765.88
METALLURGICAL INDUSTRIES,2015,2987.01,456.31
MINING,2015,3408.31,520.67
POWER,2015,5687.16,868.8
NON-CONVENTIONAL ENERGY,2015,5083.03,776.51
COAL PRODUCTION,2015,0,0
PETROLEUM & NATURAL GAS,2015,674.37,103.02
BOILERS AND STEAM GENERATING PLANTS,2015,510,77.91
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2015,1041.66,159.13
ELECTRICAL EQUIPMENTS,2015,2912.18,444.88
COMPUTER SOFTWARE & HARDWARE,2015,38649.94,5904.36
ELECTRONICS,2015,1364.12,208.39
TELECOMMUNICATIONS,2015,8669.52,1324.4
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2015,6607.14,1009.34
AUTOMOBILE INDUSTRY,2015,16540.56,2526.82
AIR TRANSPORT (INCLUDING AIR FREIGHT),2015,2364.74,361.25
SEA TRANSPORT,2015,2810.2,429.3
PORTS,2015,0,0
RAILWAY RELATED COMPONENTS,2015,484.34,73.99
INDUSTRIAL MACHINERY,2015,3719.83,568.26
MACHINE TOOLS,2015,827.28,126.38
AGRICULTURAL MACHINERY,2015,107.62,16.44
EARTH-MOVING MACHINERY,2015,639.28,97.66
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2015,1797.34,274.57
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2015,240.11,36.68
MEDICAL AND SURGICAL APPLIANCES,2015,1134.16,173.26
INDUSTRIAL INSTRUMENTS,2015,48.57,7.42
SCIENTIFIC INSTRUMENTS,2015,41.63,6.36
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2015,0,0
FERTILIZERS,2015,137.01,20.93
CHEMICALS (OTHER THAN FERTILIZERS),2015,9622.29,1469.95
PHOTOGRAPHIC RAW FILM AND PAPER,2015,0,0
DYE-STUFFS,2015,21.73,3.32
DRUGS & PHARMACEUTICALS,2015,4937.39,754.26
"TEXTILES (INCLUDING DYED,PRINTED)",2015,1506.43,230.13
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2015,557.78,85.21
SUGAR,2015,692.89,105.85
FERMENTATION INDUSTRIES,2015,1324.65,202.36
FOOD PROCESSING INDUSTRIES,2015,3311.49,505.88
VEGETABLE OILS AND VANASPATI,2015,224,34.22
"SOAPS, COSMETICS & TOILET PREPARATIONS",2015,1265.08,193.26
RUBBER GOODS,2015,1938.6,296.15
"LEATHER,LEATHER GOODS AND PICKERS",2015,112.13,17.13
GLUE AND GELATIN,2015,5.37,0.82
GLASS,2015,168.76,25.78
CERAMICS,2015,335.22,51.21
CEMENT AND GYPSUM PRODUCTS,2015,128.89,19.69
TIMBER PRODUCTS,2015,348.05,53.17
DEFENCE INDUSTRIES,2015,0.65,0.1
CONSULTANCY SERVICES,2015,3387.36,517.47
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2015,45098.41,6889.46
HOSPITAL & DIAGNOSTIC CENTRES,2015,4859.42,742.35
EDUCATION,2015,1510.69,230.78
HOTEL & TOURISM,2015,8723.79,1332.69
TRADING,2015,25171.46,3845.32
RETAIL TRADING,2015,1716.62,262.24
AGRICULTURE SERVICES,2015,554.12,84.65
"DIAMOND,GOLD ORNAMENTS",2015,383.2,58.54
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2015,7.33,1.12
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2015,803.91,122.81
COIR,2015,0,0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2015,29527.11,4510.71
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2015,736.75,112.55
MISCELLANEOUS INDUSTRIES,2015,4377.77,668.77
METALLURGICAL INDUSTRIES,2016,9659.29,1440.18
MINING,2016,373.92,55.75
POWER,2016,7464.76,1112.98
NON-CONVENTIONAL ENERGY,2016,5255.4,783.57
COAL PRODUCTION,2016,0,0
PETROLEUM & NATURAL GAS,2016,1209.94,180.4
BOILERS AND STEAM GENERATING PLANTS,2016,361.57,53.91
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2016,1924.1,286.88
ELECTRICAL EQUIPMENTS,2016,14961.24,2230.69
COMPUTER SOFTWARE & HARDWARE,2016,24492.02,3651.71
ELECTRONICS,2016,563.19,83.97
TELECOMMUNICATIONS,2016,37315.67,5563.69
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2016,10172.37,1516.68
AUTOMOBILE INDUSTRY,2016,10793.71,1609.32
AIR TRANSPORT (INCLUDING AIR FREIGHT),2016,559.36,83.4
SEA TRANSPORT,2016,4930.05,735.06
PORTS,2016,0,0
RAILWAY RELATED COMPONENTS,2016,587.33,87.57
INDUSTRIAL MACHINERY,2016,2208.62,329.3
MACHINE TOOLS,2016,160.23,23.89
AGRICULTURAL MACHINERY,2016,101.88,15.19
EARTH-MOVING MACHINERY,2016,350.31,52.23
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2016,1644.82,245.24
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2016,49.9,7.44
MEDICAL AND SURGICAL APPLIANCES,2016,3217.41,479.71
INDUSTRIAL INSTRUMENTS,2016,5.37,0.8
SCIENTIFIC INSTRUMENTS,2016,514.16,76.66
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2016,0,0
FERTILIZERS,2016,5.97,0.89
CHEMICALS (OTHER THAN FERTILIZERS),2016,9341.51,1392.8
PHOTOGRAPHIC RAW FILM AND PAPER,2016,0,0
DYE-STUFFS,2016,71.76,10.7
DRUGS & PHARMACEUTICALS,2016,5750.51,857.39
"TEXTILES (INCLUDING DYED,PRINTED)",2016,4151.3,618.95
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2016,1325.37,197.61
SUGAR,2016,106.78,15.92
FERMENTATION INDUSTRIES,2016,743.54,110.86
FOOD PROCESSING INDUSTRIES,2016,4877.46,727.22
VEGETABLE OILS AND VANASPATI,2016,727.37,108.45
"SOAPS, COSMETICS & TOILET PREPARATIONS",2016,621.07,92.6
RUBBER GOODS,2016,1762.33,262.76
"LEATHER,LEATHER GOODS AND PICKERS",2016,15.43,2.3
GLUE AND GELATIN,2016,607.65,90.6
GLASS,2016,346.68,51.69
CERAMICS,2016,103.29,15.4
CEMENT AND GYPSUM PRODUCTS,2016,14286.58,2130.1
TIMBER PRODUCTS,2016,68.61,10.23
DEFENCE INDUSTRIES,2016,0,0
CONSULTANCY SERVICES,2016,1751.47,261.14
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2016,58244.06,8684.07
HOSPITAL & DIAGNOSTIC CENTRES,2016,5012.68,747.38
EDUCATION,2016,1073.92,160.12
HOTEL & TOURISM,2016,6144.48,916.13
TRADING,2016,15683.65,2338.4
RETAIL TRADING,2016,3024.45,450.94
AGRICULTURE SERVICES,2016,512.62,76.43
"DIAMOND,GOLD ORNAMENTS",2016,831.13,123.92
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2016,10.73,1.6
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2016,356.61,53.17
COIR,2016,0,0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2016,12479.92,1860.73
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2016,705.17,105.14
MISCELLANEOUS INDUSTRIES,2016,1987.95,296.4
